Time,Thermistor,Potentiometer
530,460,506
531,460,506
532,460,507
533,460,506
534,460,506
535,460,506
536,460,506
537,460,506
538,460,506
539,460,506
540,460,506
541,460,506
542,460,506
543,460,507
544,460,506
545,460,506
546,460,506
547,460,506
548,460,506
549,461,506
550,460,506
551,460,506
552,460,506
553,460,506
554,460,506
555,460,506
556,461,507
557,460,507
558,460,506
559,461,506
560,460,506
561,460,506
562,460,506
563,460,506
564,460,506
565,461,506
566,461,506
567,460,506
568,460,506
569,461,506
570,460,506
571,460,506
572,461,506
573,461,506
574,460,507
575,460,506
576,461,506
577,460,507
578,460,506
579,461,506
580,461,507
581,460,506
582,461,506
583,460,506
584,460,506
585,460,506
586,461,506
587,460,506
588,460,506
589,461,506
590,460,506
591,461,507
592,460,506
593,461,507
594,460,506
595,460,506
596,460,506
597,461,506
598,460,506
599,461,506
600,461,506
601,460,507
602,460,506
603,461,506
604,460,506
605,461,506
606,461,506
607,461,506
608,461,506
609,460,506
610,461,506
611,460,506
612,461,506
613,461,506
614,461,506
615,461,506
616,461,506
617,461,507
618,461,507
619,461,506
620,461,506
621,461,506
622,460,506
623,461,506
624,461,506
625,461,507
626,461,506
627,461,506
628,461,507
629,461,506
630,461,506
631,461,506
632,461,506
633,461,506
634,461,506
635,461,507
636,461,506
637,461,506
638,461,506
639,461,506
640,461,506
641,461,507
642,461,506
643,461,506
644,461,507
645,461,506
646,461,506
647,461,506
648,462,506
649,461,506
650,461,506
651,461,507
652,461,506
653,461,506
654,461,506
655,461,506
656,461,506
657,461,506
658,461,506
659,461,506
660,461,506
661,461,506
662,461,506
663,461,506
664,461,506
665,461,506
666,461,506
667,462,506
668,462,507
669,461,506
670,461,506
671,461,506
672,461,506
673,461,506
674,462,506
675,461,506
676,461,506
677,461,506
678,461,507
679,461,507
680,461,506
681,462,506
682,461,506
683,461,506
684,462,506
685,461,506
686,461,507
687,461,506
688,461,506
689,461,506
690,461,506
691,461,506
692,461,506
693,461,506
694,461,506
695,462,507
696,461,507
697,461,506
698,462,506
699,462,507
700,461,506
701,462,506
702,462,507
703,461,506
704,461,506
705,462,506
706,461,506
707,461,506
708,462,506
709,462,506
710,462,506
711,462,506
712,461,506
713,461,506
714,461,506
715,462,506
716,462,507
717,461,506
718,462,506
719,462,506
720,461,506
721,462,506
722,462,506
723,462,507
724,462,506
725,462,506
726,462,506
727,462,507
728,462,506
729,462,507
730,462,506
731,461,506
732,462,506
733,462,506
734,462,506
735,462,506
736,462,506
737,462,506
738,462,506
739,462,506
740,462,507
741,462,506
742,462,506
743,462,507
744,462,506
745,462,506
746,462,506
747,462,507
748,462,506
749,462,506
750,462,507
751,462,506
752,462,506
753,462,507
754,462,506
755,462,506
756,462,506
757,462,506
758,462,506
759,462,506
760,462,506
761,462,506
762,462,506
763,462,506
764,462,506
765,462,506
766,462,506
767,462,506
768,462,506
769,462,506
770,462,506
771,462,506
772,462,506
773,462,506
774,462,506
775,462,506
776,462,506
777,462,506
778,462,506
779,462,506
780,462,507
781,462,506
782,462,506
783,462,506
784,462,506
785,462,506
786,462,506
787,462,507
788,462,507
789,462,506
790,462,506
791,462,507
792,462,506
793,462,506
794,462,506
795,462,506
796,462,506
797,462,506
798,462,507
799,462,506
800,462,506
801,462,507
802,462,506
803,463,506
804,463,507
805,462,506
806,462,506
807,462,506
808,462,506
809,462,506
810,463,506
811,462,506
812,462,507
813,462,506
814,462,507
815,462,506
816,462,506
817,462,506
818,463,507
819,462,506
820,463,506
821,463,507
822,462,506
823,462,506
824,463,506
825,462,506
826,463,506
827,462,506
828,462,506
829,463,506
830,462,506
831,463,506
832,462,506
833,462,506
834,463,506
835,463,506
836,462,506
837,463,506
838,462,506
839,463,506
840,463,506
841,463,506
842,463,506
843,463,506
844,463,506
845,463,506
846,462,507
847,462,506
848,463,506
849,462,507
850,462,506
851,463,506
852,463,506
853,462,506
854,463,506
855,463,507
856,462,506
857,462,506
858,463,506
859,462,506
860,462,506
861,463,506
862,463,507
863,462,507
864,462,506
865,463,506
866,462,506
867,463,506
868,463,506
869,463,506
870,462,506
871,463,506
872,463,506
873,462,506
874,463,506
875,463,506
876,463,507
877,463,506
878,463,506
879,463,506
880,462,506
881,462,506
882,463,506
883,463,506
884,462,506
885,463,506
886,463,506
887,462,506
888,463,506
889,463,506
890,463,506
891,462,506
892,463,506
893,463,506
894,462,506
895,463,506
896,463,507
897,462,507
898,463,506
899,463,506
900,462,506
901,463,506
902,463,506
903,463,506
904,462,506
905,463,506
906,463,507
907,462,506
908,462,506
909,463,506
910,463,506
911,462,506
912,463,506
913,463,507
914,462,507
915,462,506
916,463,506
917,463,506
918,463,506
919,463,506
920,463,506
921,462,506
922,463,506
923,463,506
924,462,506
925,463,506
926,463,506
927,463,507
928,463,506
929,463,506
930,463,506
931,463,506
932,462,506
933,463,507
934,463,506
935,463,506
936,463,506
937,463,506
938,463,506
939,463,506
940,463,506
941,463,506
942,462,506
943,463,506
944,462,506
945,462,506
946,463,506
947,463,506
948,463,506
949,463,506
950,463,506
951,463,506
952,463,506
953,463,506
954,463,506
955,463,506
956,463,506
957,463,507
958,463,506
959,462,506
960,463,506
961,462,506
962,462,506
963,463,506
964,463,506
965,463,507
966,462,506
967,463,507
968,463,506
969,463,506
970,463,506
971,463,506
972,463,506
973,463,506
974,463,506
975,463,506
976,463,506
977,463,506
978,462,507
979,463,506
980,463,506
981,464,506
982,463,506
983,463,506
984,463,507
985,463,506
986,463,506
987,463,506
988,463,506
989,463,506
990,463,506
991,463,506
992,463,506
993,463,506
994,463,506
995,463,506
996,463,506
997,463,506
998,463,506
999,463,506
1000,463,506
1001,463,506
1002,463,506
1003,463,506
1004,463,506
1005,463,506
1006,463,506
1007,463,506
1008,463,507
1009,463,506
1010,463,506
1011,463,506
1012,463,506
1013,463,506
1014,463,506
1015,463,506
1016,463,507
1017,463,506
1018,463,506
1019,463,506
1020,463,506
1021,463,506
1022,464,507
1023,463,506
1024,464,506
1025,463,506
1026,463,506
1027,464,506
1028,463,506
1029,463,507
1030,464,506
1031,463,506
1032,464,507
1033,463,506
1034,463,506
1035,463,506
1036,463,506
1037,463,506
1038,463,506
1039,463,506
1040,463,506
1041,463,506
1042,463,506
1043,463,507
1044,464,506
1045,463,506
1046,463,507
1047,463,506
1048,463,506
1049,464,506
1050,463,506
1051,463,506
1052,463,507
1053,463,506
1054,463,506
1055,463,506
1056,464,507
1057,463,506
1058,464,506
1059,464,507
1060,463,507
1061,463,506
1062,464,506
1063,463,506
1064,463,506
1065,464,506
1066,464,506
1067,463,506
1068,463,506
1069,463,506
1070,463,506
1071,463,506
1072,463,506
1073,464,506
1074,463,506
1075,464,506
1076,464,506
1077,463,506
1078,463,506
1079,464,506
1080,463,507
1081,463,506
1082,464,506
1083,464,506
1084,464,507
1085,463,506
1086,464,506
1087,463,506
1088,463,506
1089,464,506
1090,464,506
1091,463,506
1092,464,506
1093,463,506
1094,463,507
1095,463,506
1096,464,506
1097,463,506
1098,463,506
1099,464,506
1100,464,506
1101,463,506
1102,463,506
1103,464,506
1104,463,506
1105,464,506
1106,464,506
1107,463,507
1108,464,506
1109,463,506
1110,463,506
1111,464,507
1112,463,506
1113,464,506
1114,464,506
1115,464,506
1116,464,506
1117,464,506
1118,463,507
1119,463,506
1120,464,506
1121,463,506
1122,464,506
1123,464,506
1124,464,507
1125,463,506
1126,464,506
1127,464,506
1128,463,506
1129,464,506
1130,464,506
1131,463,506
1132,464,506
1133,464,506
1134,464,506
1135,464,506
1136,464,506
1137,464,506
1138,464,506
1139,464,506
1140,464,506
1141,464,506
1142,463,506
1143,464,506
1144,464,506
1145,464,506
1146,464,506
1147,464,506
1148,463,506
1149,464,506
1150,464,506
1151,464,507
1152,464,506
1153,463,506
1154,464,506
1155,463,506
1156,464,506
1157,464,506
1158,464,506
1159,464,506
1160,464,506
1161,464,506
1162,464,506
1163,463,506
1164,464,506
1165,463,506
1166,464,506
1167,464,506
1168,464,506
1169,463,506
1170,464,506
1171,464,506
1172,463,507
1173,463,506
1174,464,506
1175,464,506
1176,464,506
1177,464,506
1178,464,506
1179,464,506
1180,464,506
1181,464,506
1182,463,506
1183,464,506
1184,464,506
1185,464,506
1186,464,506
1187,464,506
1188,464,506
1189,464,506
1190,464,506
1191,464,506
1192,464,506
1193,464,506
1194,464,506
1195,464,506
1196,464,506
1197,464,506
1198,464,506
1199,464,507
1200,464,506
1201,464,506
1202,464,506
1203,464,506
1204,464,506
1205,464,506
1206,464,506
1207,464,506
1208,464,506
1209,464,506
1210,464,506
1211,464,506
1212,464,506
1213,464,506
1214,464,506
1215,464,506
1216,464,507
1217,464,506
1218,464,506
1219,464,506
1220,464,506
1221,464,506
1222,465,506
1223,464,506
1224,464,506
1225,464,506
1226,464,506
1227,464,506
1228,464,506
1229,464,507
1230,464,506
1231,464,506
1232,464,506
1233,464,506
1234,464,506
1235,464,506
1236,464,506
1237,464,507
1238,464,506
1239,464,506
1240,464,506
1241,464,506
1242,464,506
1243,464,507
1244,464,506
1245,464,506
1246,464,506
1247,464,506
1248,464,506
1249,464,506
1250,464,506
1251,464,506
1252,464,506
1253,464,506
1254,464,507
1255,464,506
1256,464,507
1257,464,506
1258,464,506
1259,464,506
1260,464,506
1261,464,506
1262,464,506
1263,464,506
1264,464,506
1265,464,506
1266,464,506
1267,464,507
1268,464,506
1269,464,506
1270,464,507
1271,464,507
1272,464,506
1273,464,507
1274,464,506
1275,464,506
1276,464,506
1277,464,507
1278,464,506
1279,464,506
1280,464,506
1281,464,506
1282,464,506
1283,464,506
1284,464,507
1285,464,506
1286,464,506
1287,464,506
1288,464,507
1289,464,506
1290,464,506
1291,464,506
1292,464,506
1293,464,506
1294,464,507
1295,464,506
1296,464,506
1297,464,507
1298,464,506
1299,464,506
1300,464,506
1301,464,506
1302,464,506
1303,465,506
1304,465,506
1305,464,506
1306,464,506
1307,464,506
1308,464,506
1309,464,506
1310,464,506
1311,464,506
1312,464,506
1313,464,506
1314,464,507
1315,464,507
1316,464,506
1317,464,506
1318,464,506
1319,464,506
1320,464,506
1321,465,506
1322,464,507
1323,464,506
1324,464,506
1325,464,506
1326,464,506
1327,464,506
1328,464,506
1329,464,506
1330,464,506
1331,464,506
1332,464,506
1333,464,506
1334,465,506
1335,464,507
1336,464,506
1337,464,506
1338,465,506
1339,464,506
1340,464,506
1341,465,506
1342,464,506
1343,464,506
1344,464,506
1345,465,506
1346,465,506
1347,465,506
1348,464,506
1349,464,506
1350,464,506
1351,465,506
1352,464,506
1353,464,506
1354,465,506
1355,465,506
1356,464,506
1357,464,506
1358,465,506
1359,464,506
1360,464,506
1361,464,506
1362,465,507
1363,464,506
1364,465,506
1365,465,506
1366,464,506
1367,464,506
1368,465,506
1369,465,506
1370,464,506
1371,465,506
1372,464,506
1373,464,507
1374,464,506
1375,465,506
1376,465,506
1377,464,506
1378,465,506
1379,465,507
1380,464,506
1381,465,506
1382,465,506
1383,465,507
1384,465,506
1385,465,506
1386,464,507
1387,465,506
1388,465,506
1389,465,506
1390,465,507
1391,464,506
1392,465,507
1393,464,506
1394,464,506
1395,465,506
1396,465,506
1397,464,506
1398,465,506
1399,465,506
1400,464,506
1401,465,506
1402,465,506
1403,465,507
1404,464,506
1405,465,506
1406,465,507
1407,464,506
1408,464,506
1409,465,507
1410,464,506
1411,464,506
1412,465,506
1413,465,506
1414,465,506
1415,465,506
1416,465,506
1417,464,507
1418,465,506
1419,465,506
1420,465,506
1421,464,506
1422,465,506
1423,465,506
1424,464,506
1425,465,506
1426,465,506
1427,464,506
1428,465,506
1429,465,506
1430,465,506
1431,465,506
1432,465,506
1433,465,506
1434,465,506
1435,465,506
1436,465,506
1437,465,506
1438,465,506
1439,465,506
1440,465,506
1441,465,507
1442,465,506
1443,465,506
1444,465,507
1445,465,506
1446,465,506
1447,465,506
1448,465,506
1449,465,506
1450,465,506
1451,465,506
1452,465,506
1453,465,506
1454,464,506
1455,465,506
1456,465,506
1457,465,506
1458,465,507
1459,465,506
1460,465,507
1461,465,507
1462,465,506
1463,465,506
1464,465,506
1465,464,506
1466,465,506
1467,465,506
1468,465,506
1469,465,506
1470,465,506
1471,465,506
1472,465,506
1473,465,506
1474,465,507
1475,465,506
1476,464,506
1477,465,507
1478,465,506
1479,465,506
1480,465,506
1481,465,506
1482,465,506
1483,465,506
1484,465,506
1485,465,507
1486,465,506
1487,465,506
1488,465,506
1489,465,506
1490,465,506
1491,466,507
1492,465,506
1493,465,506
1494,465,506
1495,465,506
1496,465,506
1497,465,506
1498,465,507
1499,465,506
1500,465,506
1501,465,507
1502,465,506
1503,465,506
1504,465,506
1505,465,506
1506,465,506
1507,465,506
1508,465,506
1509,465,506
1510,465,506
